NIL line	Matched Founder	Syngenta called Founder
10NN0001	CML103	CML103 
10NN0003	CML103	CML103 
10NN0005	Tzi8	CML103 
10NN0007	CML103	CML103 
10NN0009	CML103	CML103 
10NN0011	NC350	CML103 
10NN0013	CML103	CML103 
10NN0015	Tzi8	CML103 
10NN0017	CML103	CML103 
10NN0019	CML103	CML103 
10NN0021	CML103	CML103 
10NN0023	Tzi8	CML103 
10NN0025	Tzi8	CML103 
10NN0027	CML103	CML103 
10NN0031	CML103	CML103 
10NN0033	Tzi8	CML103 
10NN0035	CML103	CML103 
10NN0037	Tzi8	CML103 
10NN0039	CML103	CML103 
10NN0041	Mo17	CML103 
10NN0043	NC358	CML103 
10NN0045	CML103	CML103 
10NN0047	Mo17	CML103 
10NN0049	CML103	CML103 
10NN0051	CML103	CML103 
10NN0053	CML103	CML103 
10NN0055	CML103	CML103 
10NN0057	CML103	CML228 
10NN0059	CML103	CML228 
10NN0061	Oh7B	CML228 
10NN0065	CML228	CML228 
10NN0065a	CML228	
10NN0067	CML228	CML228 
10NN0069	CML228	CML228 
10NN0071	CML228	CML228 
10NN0073	CML228	CML228 
10NN0075	CML228	CML228 
10NN0077	CML228	CML228 
10NN0079	CML228	CML228 
10NN0081	CML228	CML228 
10NN0085	CML228	CML228 
10NN0087	CML228	CML228 
10NN0089	Oh7B	CML228 
10NN0091	CML228	CML228 
10NN0093	CML247	CML228 
10NN0095	CML228	CML228 
10NN0097	CML103	CML228 
10NN0099	CML228	CML228 
10NN0101	CML228	CML228 
10NN0103	CML228	CML228 
10NN0105	CML228	CML247 
10NN0107	CML228	CML247 
10NN0109	CML247	CML247 
10NN0111	CML247	CML247 
10NN0113	Oh7B	CML247 
10NN0115	CML247	CML247 
10NN0117	CML247	CML247 
10NN0119	CML247	CML247 
10NN0121	CML247	CML247 
10NN0123	CML247	CML247 
10NN0125	CML247	CML247 
10NN0127	CML247	CML247 
10NN0129	CML247	CML247 
10NN0133	CML247	CML247 
10NN0135	CML247	CML247 
10NN0137	CML247	CML247 
10NN0139	CML247	CML247 
10NN0143	CML247	CML247 
10NN0145	Oh7B	CML247 
10NN0147	CML52	CML247 
10NN0149	CML247	CML247 
10NN0151	CML247	CML277 
10NN0155	CML322	CML277 
10NN0157	CML277	CML277 
10NN0159	CML277	CML277 
10NN0161	CML277	CML277 
10NN0163	CML322	CML277 
10NN0165	CML277	CML277 
10NN0167	CML277	CML277 
10NN0169	Oh7B	CML277 
10NN0171	CML322	CML277 
10NN0173	CML277	CML277 
10NN0175	CML277	CML277 
10NN0177	CML277	CML277 
10NN0179	CML277	CML277 
10NN0181	CML277	CML277 
10NN0185	CML277	CML277 
10NN0187	CML277	CML277 
10NN0189	CML277	CML277 
10NN0191	CML322	CML277 
10NN0193	CML277	CML322 
10NN0195	CML277	CML322 
10NN0197	CML322	CML322 
10NN0199	CML322	CML322 
10NN0201	CML322	CML322 
10NN0205	CML322	CML322 
10NN0207	CML322	CML322 
10NN0209	CML322	CML322 
10NN0211	CML322	CML322 
10NN0215	CML322	CML322 
10NN0219	CML322	CML322 
10NN0221	CML322	CML322 
10NN0223	CML322	CML322 
10NN0225	CML322	CML322 
10NN0227	CML322	CML322 
10NN0229	CML322	CML322 
10NN0231	Oh7B	CML322 
10NN0233	Oh7B	CML322 
10NN0237	CML322	CML333 
10NN0239	CML322	CML333 
10NN0241	CML333	CML333 
10NN0243	CML333	CML333 
10NN0245	Oh7B	CML333 
10NN0247	CML333	CML333 
10NN0249	CML333	CML333 
10NN0251	CML333	CML333 
10NN0253	CML333	CML333 
10NN0255	HP301	CML333 
10NN0257	CML333	CML333 
10NN0259	CML333	CML333 
10NN0261	CML333	CML333 
10NN0263	CML333	CML333 
10NN0265	CML333	CML333 
10NN0269	Mo17	CML333 
10NN0271	CML333	CML333 
10NN0273	CML333	CML333 
10NN0279	CML333	CML333 
10NN0281	Mo17	CML333 
10NN0283	CML333	CML333 
10NN0285	CML333	CML333 
10NN0287	CML333	CML52 
10NN0289	CML333	CML52 
10NN0291	CML333	CML52 
10NN0293	CML52	CML52 
10NN0295	CML52	CML52 
10NN0299	NC358	CML52 
10NN0301	CML52	CML52 
10NN0305	CML52	CML52 
10NN0307	NC358	CML52 
10NN0309	CML52	CML52 
10NN0311	CML52	CML52 
10NN0313	CML52	CML52 
10NN0315	CML52	CML52 
10NN0317	Oh7B	CML52 
10NN0319	CML52	CML52 
10NN0321	CML52	CML52 
10NN0323	CML52	CML52 
10NN0325	CML52	CML52 
10NN0327	NC358	CML52 
10NN0329	Oh7B	CML52 
10NN0331	NC358	CML52 
10NN0333	NC358	CML52 
10NN0335	CML52	CML52 
10NN0339	CML69	CML52 
10NN0343	CML52	CML52 
10NN0347	CML52	CML69 
10NN0349	CML52	CML69 
10NN0351	CML69	CML69 
10NN0353	CML69	CML69 
10NN0355	CML69	CML69 
10NN0357	CML69	CML69 
10NN0359	Oh7B	CML69 
10NN0361	CML69	CML69 
10NN0365	CML69	CML69 
10NN0367	CML69	CML69 
10NN0369	CML69	CML69 
10NN0371	CML69	CML69 
10NN0373	Mo17	CML69 
10NN0379	CML69	CML69 
10NN0381	CML69	CML69 
10NN0383	CML69	CML69 
10NN0385	CML69	CML69 
10NN0387	CML69	CML69 
10NN0389	CML103	CML69 
10NN0391	CML69	CML69 
10NN0393	CML69	CML69 
10NN0395	CML69	CML69 
10NN0397	CML69	CML103
10NN0399	CML69	CML103
10NN0401	Ki11	Ki11
10NN0403	Ki11	Ki11
10NN0405	Ki11	Ki11
10NN0407	Ki11	Ki11
10NN0409	Mo17	Ki11
10NN0411	Ki11	Ki11
10NN0413	Ki11	Ki11
10NN0415	Mo17	Ki11
10NN0417	Ki11	Ki11
10NN0419	Ki11	Ki3 
10NN0421	Ki11	Ki3 
10NN0423	Mo17	Ki3 
10NN0425	Ki11	Ki3 
10NN0427	Mo17	Ki3 
10NN0429	Mo17	Ki3 
10NN0431	Ki11	Ki3 
10NN0433	Ki11	Ki3 
10NN0435	Ki11	Ki3 
10NN0437	Tzi8	Ki3 
10NN0439	Ki11	Ki3 
10NN0441	Ki11	Ki3 
10NN0443	Mo17	Ki3 
10NN0445	Ki11	Ki3 
10NN0447	Mo17	Ki3 
10NN0449	Ki11	Ki3 
10NN0451	Ki11	Ki3 
10NN0451b	Ki11	
10NN0453	Ki3	Ki3 
