,10NN0001,10NN0003,10NN0005,10NN0007,10NN0009,10NN0011,10NN0013,10NN0015,10NN0017,10NN0019,10NN0021,10NN0023,10NN0025,10NN0027,10NN0031,10NN0033,10NN0035,10NN0037,10NN0039,10NN0041,10NN0043,10NN0045,10NN0047,10NN0049,10NN0051,10NN0053,10NN0397,10NN0399
B73,0.9783961527215916,0.9858825480364305,0.9844904407176117,0.9584200672924603,0.9777546487220106,0.9793649546801426,0.9824873772087157,0.976644017647906,0.9861443864036064,0.9801853815639605,0.9711105001549211,0.9714007043452078,0.9779553914701787,0.9859545535874038,0.9864084067571754,0.9707548363728403,0.9835347306774195,0.9754068313629997,0.9821862630864634,0.9891969853675993,0.9876805048243719,0.9824721033039638,0.9700718746317898,0.9736808801260315,0.9737005180035697,0.9878310618854981,0.9797118905166508,0.9875212198176733
B97,0.6469851494006084,0.6493482406643712,0.6488769316034545,0.6469371456999594,0.6500268384326355,0.6469895133733946,0.6493482406643712,0.6462214541630118,0.650018110487063,0.6480761425971747,0.6465705719859131,0.6477706645021362,0.6459007021632213,0.6495446194397532,0.6493155108684743,0.6479059476585104,0.6477073868967353,0.6459748897005878,0.6475633757947885,0.6491802277120999,0.6494573399840279,0.6492980549773292,0.6423549742743804,0.6460119834692711,0.6472077120127079,0.6496013510859746,0.6473997268153036,0.6489314812632828
CML103,0.6316632409480295,0.6239630109666636,0.6200659832685284,0.6481721499984726,0.6324160262536603,0.6188964385618091,0.6262410047610943,0.6179560024263688,0.6235811633478654,0.6227585544776543,0.6364461551217767,0.6206965773361437,0.6176723441952616,0.625990076325884,0.6233040510759374,0.620127078887536,0.6223068832942757,0.6182505705894418,0.6242008474835151,0.6213926309955531,0.6202950918398072,0.628108785113616,0.6176679802224754,0.634168161327346,0.6373145857062436,0.622786920300765,0.6198848783978983,0.6201510807378605
CML228,0.6128239704297204,0.6119271740221428,0.6124050290422389,0.612309021640941,0.6124595787020672,0.6112202104307678,0.6127083251508844,0.6112485762538785,0.6119009901854252,0.6118573504575625,0.6128130604977547,0.6127454189195676,0.6091560513028641,0.6127061431644912,0.6121628285526012,0.6137578606059813,0.6107423554106717,0.6102099507307472,0.6110456515193171,0.6119097181309977,0.612193376362105,0.6118835342942801,0.6068780575084334,0.6114013153013977,0.6125904978856552,0.6123373874640518,0.6118922622398527,0.6123373874640518
CML247,0.6209605976897128,0.619651405853833,0.6201445347786811,0.6193502917315807,0.6214275427778433,0.618846252874767,0.6207271251456475,0.6178883608481818,0.6201445347786811,0.6202514521119447,0.6212464379072132,0.6199568839488717,0.6167297260734282,0.6204281930097884,0.6201118049827842,0.6199743398400167,0.618614962317095,0.6184294934736787,0.6189226223985267,0.619880514425112,0.6200267075134519,0.6203932812274983,0.6142509895308292,0.6188593447931259,0.61946811899681,0.6202514521119447,0.6198106908605318,0.6199852497719824
CML277,0.6172381289030282,0.6164373398967484,0.6168715551889818,0.6172992245220359,0.6179494564671895,0.6160074885773013,0.6171443034881234,0.6143426329593409,0.616380608250527,0.6168781011481612,0.6175305150797079,0.6168475533386574,0.6139084176671075,0.6167515459373595,0.6164591597606798,0.6167231801142488,0.6153354367682163,0.6145717415306198,0.6153878044416515,0.6161907754343244,0.6162955107811948,0.6163609703729888,0.609498623166586,0.6154030783464034,0.6161209518697441,0.6163631523593819,0.6164722516790385,0.6163216946179123
CML322,0.6220908666413556,0.6208580443292355,0.6213184434581865,0.6216762892266604,0.6224508943962226,0.6210413311862587,0.6212508018799995,0.6186411461538126,0.621372993118015,0.6211897062609918,0.6204238290370021,0.6211242466691977,0.618154563188144,0.6204587408192922,0.6217068370361643,0.6215191862063548,0.6198608765475738,0.6185778685484117,0.6203038197853799,0.6213293533901523,0.6213773570908012,0.6214602725737403,0.6149819549725288,0.6201663546426125,0.6210696970093694,0.621735202859275,0.6209082300162776,0.6211024268052664
CML333,0.6187044237592134,0.6182025668887928,0.6183836717594229,0.6181785650384685,0.6187655193782211,0.6174956032974178,0.618828796983622,0.6165573491483707,0.6182942103173045,0.6184578592967894,0.6189575341808169,0.616793003678829,0.6140960684969169,0.6186171443034881,0.6180781936643843,0.6188833466434503,0.6165246193524737,0.617087571841902,0.6172708586989252,0.6180149160589835,0.6186564200585645,0.6179036347529336,0.6124093930150252,0.6173515921954711,0.6184556773103963,0.6187284256095379,0.6180781936643843,0.6180476458548805
CML52,0.5970154790114729,0.5956757393660893,0.5962496017874832,0.5953004377064705,0.5964197967261476,0.5947069374075383,0.5959375777332653,0.594373093489389,0.5952677079105735,0.5956582834749442,0.5959223038285133,0.5966707251613579,0.5935832144150749,0.5960619509576738,0.5959375777332653,0.5964787103587622,0.5945018306865838,0.5945323784960876,0.5944254611628242,0.5950320533801151,0.5959419417060515,0.5952960737336842,0.5896425469890769,0.5942138084826903,0.5950669651624052,0.5957913846449253,0.5952786178425391,0.5954968164818524
CML69,0.6192128265888134,0.61790799872572,0.6182265687391173,0.6180541918140599,0.6185865964939843,0.6168279154611191,0.6188200690380494,0.6167799117604703,0.6182462066166555,0.617842539133926,0.6186455101265989,0.6183923997049955,0.6153943504008309,0.6188702547250915,0.6186215082762744,0.6179603663991551,0.6172075810935242,0.6167886397060428,0.6166140807945921,0.6180978315419225,0.6185364108069422,0.6186105983443088,0.6122086502668569,0.6178905428345749,0.6187524274598624,0.6184578592967894,0.6272403545291492,0.6209169579618502
