,10NN0001,10NN0003,10NN0005,10NN0007,10NN0009,10NN0011,10NN0013,10NN0015,10NN0017,10NN0019,10NN0021,10NN0023,10NN0025,10NN0027,10NN0031,10NN0033,10NN0035,10NN0037,10NN0039,10NN0041,10NN0043,10NN0045,10NN0047,10NN0049,10NN0051,10NN0053,10NN0397,10NN0399
B73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B97,0.007045634063425981,0.0048811035614381906,0.005252041248270776,0.015570654901396036,0.008830498933008654,0.006447769791707579,0.006244845057146223,0.0066550584990552,0.005127668023862203,0.0066550584990552,0.009866942469746759,0.010447350850320097,0.005662254690179752,0.005016386717812428,0.0045516236160751304,0.010813924564366417,0.004693452731628765,0.007032542145067183,0.0052585872074501746,0.0033035273992031385,0.0042221436707120695,0.006220843206821762,0.006353944376802866,0.008758493382035269,0.009260350252455826,0.004189413874815077,0.00648704554678397,0.003966851262715526
CML103,0.014425112045001288,0.006663786444627731,0.005077482336820148,0.03164753064599889,0.01513862159555573,0.006775067750677507,0.009419635259154523,0.007028178172280917,0.00642594992777625,0.008542476729115117,0.02017028221812009,0.011540526033279656,0.005965550798825219,0.007933702525431052,0.0061030159415925885,0.011189226223985268,0.006467407669245775,0.007405661818292901,0.007798419369056815,0.0037028309091464507,0.003982125167467455,0.010530266333259146,0.00769586600857957,0.017540988614395,0.01954405212329096,0.005319682826457894,0.007030360158674051,0.004012672976971316
CML228,0.00869739776302755,0.004848373765541198,0.005666618662966018,0.01691257653317274,0.00885013681054685,0.007338020240105783,0.006637602607910137,0.007918428620679121,0.004815643969644205,0.00713727749193756,0.011721630903909683,0.011863460019463319,0.005939366962107624,0.005313136867278496,0.004702180677201297,0.012498418059864978,0.005007658772239896,0.00769586600857957,0.0057451701731188005,0.0034519024739361726,0.004300695180864852,0.006384492186306726,0.006899440975086079,0.00997385980301027,0.010748464972572432,0.004337788949548111,0.007383841954361573,0.004405430527735229
CML247,0.008631938171233564,0.004601809303117186,0.005374232486286216,0.01638017185324832,0.009314899912284147,0.006956172621307533,0.006672514390200263,0.007235466879628539,0.004789460132926611,0.007287834553063727,0.011791454468489934,0.011335419312325169,0.00571462236361494,0.005022932676991826,0.004564715534433927,0.011392150958546622,0.004787278146533478,0.007717685872510899,0.005494241737908522,0.0032424317801954187,0.004058494691227105,0.0064324958869556486,0.006449951778100712,0.00938690546325753,0.009932402061540745,0.004152320106131818,0.007156915369475756,0.004134864214986755
CML277,0.008754129409249004,0.0050338426089574905,0.005812811751305919,0.017290060179184722,0.009561464374708159,0.007615132512033655,0.006779431723463772,0.007475485382873152,0.0049051054117626525,0.007737323750049095,0.011946375502402367,0.011861278033070187,0.006220843206821762,0.005197491588442455,0.004798188078499142,0.011861278033070187,0.005177853710904259,0.00783333115134694,0.0057931738737677235,0.003488996242619431,0.004182867915635678,0.006417221982203719,0.006316850608119607,0.009688019585509865,0.010274973925262602,0.004228689629891468,0.007514761137949544,0.004333424976761845
CML322,0.008540294742721985,0.004599627316724053,0.005289135016954034,0.016820933104661158,0.00901814976281808,0.007314018389781321,0.006092106009626924,0.006855801247223422,0.0046323571126210454,0.007111093655219966,0.010752828945358697,0.01130705348921444,0.005574975234454438,0.004401066554948963,0.004667268894911172,0.011416152808871084,0.0046236291670485145,0.007128549546365029,0.005518243588232984,0.00329698144002374,0.004056312704833973,0.0062513910163256225,0.006168475533386574,0.009389087449650665,0.010072049190701246,0.004139228187773021,0.007004176321956456,0.003973397221894924
CML333,0.00860575433451597,0.0048854675342244564,0.005657890717393486,0.016834025023019956,0.00884359085136745,0.007226738934056007,0.00671615411806292,0.007562764838598466,0.004889831507010722,0.007486395314838816,0.011529616101313991,0.0108859301153398,0.005382960431858747,0.005173489738117993,0.004630175126227913,0.01182636625078006,0.0047807321873540795,0.007986070198866239,0.005736442227546269,0.0034082627460735155,0.004593081357544654,0.006268846907470685,0.006504501437929033,0.009866942469746759,0.010573906061121803,0.004468708133136082,0.007418753736651698,0.004248327507429664
CML52,0.00849883700125246,0.004518893820178138,0.005402598309396943,0.0152760867383231,0.008007890062797568,0.006622328703158207,0.005919729084569429,0.007294380512243126,0.004224325657105202,0.006598326852833745,0.010613181816198193,0.010853200319442808,0.005629524894282759,0.004588717384758388,0.0043508808679069075,0.010593543938659999,0.004649813003766108,0.007732959777262829,0.005036024595350623,0.0027733047056718555,0.003999581058612519,0.005660072703786619,0.006089924023233791,0.00860575433451597,0.009146886960012918,0.003781382419299233,0.006744519941173647,0.003783564405692366
CML69,0.00860575433451597,0.00465854094933864,0.005365504540713684,0.016642010220424264,0.008610118307302236,0.006871075151975352,0.006412858009417453,0.00763477038957185,0.00465854094933864,0.007012904267528988,0.011302689516428176,0.011453246577554343,0.005856451479168576,0.005206219534014986,0.00473491047309829,0.011272141706924315,0.004964019044377239,0.007826785192167542,0.005193127615656189,0.003310073358382537,0.004287603262506055,0.006526321301860361,0.006449951778100712,0.009862578496960492,0.010523720374079747,0.0041697759972768806,0.012413320590532798,0.005642616812641556
