,10NN0001,10NN0003,10NN0005,10NN0007,10NN0009,10NN0011,10NN0013,10NN0015,10NN0017,10NN0019,10NN0021,10NN0023,10NN0025,10NN0027,10NN0031,10NN0033,10NN0035,10NN0037,10NN0039,10NN0041,10NN0043,10NN0045,10NN0047,10NN0049,10NN0051,10NN0053,10NN0397,10NN0399
B73,0.978396153,0.985882548,0.984490441,0.958420067,0.977754649,0.979364955,0.982487377,0.976644018,0.986144386,0.980185382,0.9711105,0.971400704,0.977955391,0.985954554,0.986408407,0.970754836,0.983534731,0.975406831,0.982186263,0.989196985,0.987680505,0.982472103,0.970071875,0.97368088,0.973700518,0.987831062,0.979711891,0.98752122
B97,0.646985149,0.649348241,0.648876932,0.646937146,0.650026838,0.646989513,0.649348241,0.646221454,0.65001811,0.648076143,0.646570572,0.647770665,0.645900702,0.649544619,0.649315511,0.647905948,0.647707387,0.64597489,0.647563376,0.649180228,0.64945734,0.649298055,0.642354974,0.646011983,0.647207712,0.649601351,0.647399727,0.648931481
CML103,0.631663241,0.623963011,0.620065983,0.64817215,0.632416026,0.618896439,0.626241005,0.617956002,0.623581163,0.622758554,0.636446155,0.620696577,0.617672344,0.625990076,0.623304051,0.620127079,0.622306883,0.618250571,0.624200847,0.621392631,0.620295092,0.628108785,0.61766798,0.634168161,0.637314586,0.62278692,0.619884878,0.620151081
CML228,0.61282397,0.611927174,0.612405029,0.612309022,0.612459579,0.61122021,0.612708325,0.611248576,0.61190099,0.61185735,0.61281306,0.612745419,0.609156051,0.612706143,0.612162829,0.613757861,0.610742355,0.610209951,0.611045652,0.611909718,0.612193376,0.611883534,0.606878058,0.611401315,0.612590498,0.612337387,0.611892262,0.612337387
CML247,0.620960598,0.619651406,0.620144535,0.619350292,0.621427543,0.618846253,0.620727125,0.617888361,0.620144535,0.620251452,0.621246438,0.619956884,0.616729726,0.620428193,0.620111805,0.61997434,0.618614962,0.618429493,0.618922622,0.619880514,0.620026708,0.620393281,0.61425099,0.618859345,0.619468119,0.620251452,0.619810691,0.61998525
CML277,0.617238129,0.61643734,0.616871555,0.617299225,0.617949456,0.616007489,0.617144303,0.614342633,0.616380608,0.616878101,0.617530515,0.616847553,0.613908418,0.616751546,0.61645916,0.61672318,0.615335437,0.614571742,0.615387804,0.616190775,0.616295511,0.61636097,0.609498623,0.615403078,0.616120952,0.616363152,0.616472252,0.616321695
CML322,0.622090867,0.620858044,0.621318443,0.621676289,0.622450894,0.621041331,0.621250802,0.618641146,0.621372993,0.621189706,0.620423829,0.621124247,0.618154563,0.620458741,0.621706837,0.621519186,0.619860877,0.618577869,0.62030382,0.621329353,0.621377357,0.621460273,0.614981955,0.620166355,0.621069697,0.621735203,0.62090823,0.621102427
CML333,0.618704424,0.618202567,0.618383672,0.618178565,0.618765519,0.617495603,0.618828797,0.616557349,0.61829421,0.618457859,0.618957534,0.616793004,0.614096068,0.618617144,0.618078194,0.618883347,0.616524619,0.617087572,0.617270859,0.618014916,0.61865642,0.617903635,0.612409393,0.617351592,0.618455677,0.618728426,0.618078194,0.618047646
CML52,0.597015479,0.595675739,0.596249602,0.595300438,0.596419797,0.594706937,0.595937578,0.594373093,0.595267708,0.595658283,0.595922304,0.596670725,0.593583214,0.596061951,0.595937578,0.59647871,0.594501831,0.594532378,0.594425461,0.595032053,0.595941942,0.595296074,0.589642547,0.594213808,0.595066965,0.595791385,0.595278618,0.595496816
CML69,0.619212827,0.617907999,0.618226569,0.618054192,0.618586596,0.616827915,0.618820069,0.616779912,0.618246207,0.617842539,0.61864551,0.6183924,0.61539435,0.618870255,0.618621508,0.617960366,0.617207581,0.61678864,0.616614081,0.618097832,0.618536411,0.618610598,0.61220865,0.617890543,0.618752427,0.618457859,0.627240355,0.620916958
HP301,0.632232739,0.63242039,0.632843696,0.629559806,0.630314773,0.63059625,0.632282925,0.62885066,0.632392024,0.632047271,0.631004281,0.631311941,0.629199778,0.632306927,0.632228375,0.628422991,0.630980279,0.629754003,0.631846528,0.632597131,0.632704048,0.631811616,0.624859807,0.631460316,0.632215284,0.63209091,0.631877076,0.632365841
Il14H,0.616995928,0.61736032,0.617091936,0.614277173,0.617606885,0.615793654,0.617473783,0.614102614,0.617369048,0.617135576,0.617105028,0.614975409,0.613725131,0.616985018,0.617421416,0.616040218,0.616003125,0.615370349,0.616945743,0.617619977,0.617899271,0.616731908,0.610463061,0.615769652,0.615791472,0.617495603,0.617048296,0.61701993
